id,title,img,price,category
0,"Eureka NEC185 Cordless Stick Vacuum Cleaner Convenient for Hard Floors, Rechargeable Handheld Vacuum Cleaner Portable with Powerful Motor Efficient Suction,White",716X0z1KILL._AC_UL320_.jpg,152.99,Vacuum Cleaners & Floor Care
1,"Hoover Power Scrub Deluxe Carpet Cleaner Machine, Upright Shampooer, FH50150NC, Red, 27",71zMtxB9xTL._AC_UL320_.jpg,181.36,Vacuum Cleaners & Floor Care
2,Prolux Core Floor Buffer - Heavy Duty Single Pad Commercial Floor Polisher and Tile Scrubber,71+t-F84jDS._AC_UL320_.jpg,499.99,Vacuum Cleaners & Floor Care
3,"Shark NV356E Navigator Lift-Away Professional Upright Vacuum with Swivel Steering, HEPA Filter, XL Dust Cup, Pet Power, Dusting Brush, and Crevice Tool, Perfect for Pet Hair, White/Silver",61OsbGCnrqL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
4,Tineco iFLOOR 3 Breeze Complete Wet Dry Vacuum Cordless Floor Cleaner and Mop One-Step Cleaning for Hard Floors,71rvT22VH3L._AC_UL320_.jpg,279.99,Vacuum Cleaners & Floor Care
5,"Dyson V15 Detect Cordless Vacuum Cleaner, Multicolor, 10.5""L x 9.8""W x 49.6""H",613doEjslUL._AC_UL320_.jpg,580.0,Vacuum Cleaners & Floor Care
6,"Homeika Cordless Stick Vacuum Cleaner, 20Kpa Powerful Suction Vacuum Cleaner with LED Display, 30 Min Runtime Detachable Battery, 1.5L Dust Cup, for Carpet and Hard Floor Pet Hair (Pink)",71UUT0jU68L._AC_UL320_.jpg,109.99,Vacuum Cleaners & Floor Care
7,"BISSELL Crosswave Pet Pro All in One Wet Dry Vacuum Cleaner and Mop for Hard Floors and Area Rugs, Purple, 2306A",71z3BuuN8AL._AC_UL320_.jpg,267.99,Vacuum Cleaners & Floor Care
8,"EyeVac PRO Touchless Vacuum - 1400 Watts Professional Vacuum with Active Infrared Sensors, High Efficiency Filtration, Bag-Less Canister (Tuxedo Black)",61Ar-zMYZvL._AC_UL320_.jpg,199.0,Vacuum Cleaners & Floor Care
9,"Simplicity Jill Canister Vacuum Cleaner, Hardwood Floor Vacuum with Dual-Certified HEPA Vacuum Filter and Bag, Small and Compact Stair Vacuum, Jill.12",71DiB4JTLqL._AC_UL320_.jpg,159.99,Vacuum Cleaners & Floor Care
10,"Bissell CleanView Swivel Rewind Pet Reach Vacuum Cleaner, with Quick Release Wand, Swivel Steering and Automatic Cord Rewind, 3197A (Color may vary),Black",71usUuW2W-L._AC_UL320_.jpg,145.0,Vacuum Cleaners & Floor Care
11,"FABULETTA Cordless Vacuum Cleaner, Strong Brushless Motor with 24Kpa Max Suction, 6 in 1 Lightweight Stick Vacuum Cleaner with 45 Min Max Runtime Detachable Battery for Hardfloor Carpet Pet Hair, Blue",61dFEq7opYL._AC_UL320_.jpg,119.99,Vacuum Cleaners & Floor Care
12,"Bissell Steam Mop, Steamer, Tile, Hard Wood Floor Cleaner, 1806, Sapphire Powerfresh Deluxe",71FgnTXKDqL._AC_UL320_.jpg,102.95,Vacuum Cleaners & Floor Care
13,"VacLife 25Kpa Cordless Stick Vacuum Cleaner, 6-in-1 Cordless Vacuum w/Strong Suction for Home Pet Hair Carpet Hard Floor, Max 45 Min Runtime, Wireless Vaccine Cleaner w/LED Headlights, Black (VL732)",71TbFwCKe+L._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
14,"Dyson V11 Cordless Stick Vaccum, Large, Nickel/Blue",51PGx0DtJ6L._AC_UL320_.jpg,462.0,Vacuum Cleaners & Floor Care
15,"BISSELL Pet Hair Eraser Turbo Rewind Vacuum, Lightweight, Automatic Cord Rewind, Tangle-Free Brush Roll, Headlights, Powerful Pet Hair Pickup, SmartSeal Allergen System, Blue, 27909",71bg2hfBogL._AC_UL320_.jpg,228.09,Vacuum Cleaners & Floor Care
16,"Fykee Cordless Vacuum Cleaner, 80,000 PRM Vacuum Cleaner with 2200 mAh Battery and 2 Adjustable Model, Rotated LED Brush Head Detachable Stick Vacuum up to 35 Mins Runtime",61qBYPEOxoL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
17,"Robot Vacuum and Mop Combo, WiFi/App/Alexa, Robotic Vacuum Cleaner with Schedule, 2 in 1 Mopping Robot Vacuum with Watertank and Dustbin, Self-Charging, Slim, Ideal for Hard Floor, Pet Hair, Carpet",71VRtX5V1RL._AC_UL320_.jpg,176.56,Vacuum Cleaners & Floor Care
18,"Vactidy T6 Robot Vacuum, Slim, Quiet, Automatic Self-Charging Robotic Vacuum Cleaner, Daily Schedule Cleaning, 2.4GHz WiFi/App/Alexa/Siri Control, Good for Pet Hair, Hard Floor and Low Pile Carpet",71SFDFB5LrL._AC_UL320_.jpg,159.89,Vacuum Cleaners & Floor Care
19,"Hoover ONEPWR Evolve Pet Cordless Small Upright Vacuum Cleaner, Lightweight Stick Vac, For Carpet and Hard Floor, BH53422V, Black",61BOJpzCNIL._AC_UL320_.jpg,179.99,Vacuum Cleaners & Floor Care
20,"iRobot Braava Jet M6 (6110) Ultimate Robot Mop- Wi-Fi Connected, Precision Jet Spray, Smart Mapping, Works with Alexa, Ideal for Multiple Rooms, Recharges and Resumes, White",81rv10KuoWL._AC_UL320_.jpg,399.0,Vacuum Cleaners & Floor Care
21,"Robot Vacuums,3000Pa Powerful Suction Self-Charging Robotic Vacuum Cleaner,4400mAh Battery Life Robotic Vacuums Sweeper, Automatic Self-Charging, Ideal for Pet Care, Hard Floor & Medium-Pile Carpet",610MsZeqiML._AC_UL320_.jpg,128.99,Vacuum Cleaners & Floor Care
22,"Sanitaire SC679K Tradition Upright Commercial Bagged Vacuum, Red",61MzTQDBTXL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
23,"Kenmore DS4065 Cordless Stick Vacuum 1L Capacity Lightweight Cleaner 2-Speed Power Suction LED Headlight 2-in-1 Handheld for Hardwood Floor, Carpet & Dog Hair, Blue",511rFyKnACL._AC_UL320_.jpg,116.99,Vacuum Cleaners & Floor Care
24,"Shark ZU782 Rotator Lift-Away DuoClean Pro Upright Vacuum with Self-Cleaning Brushroll, DuoClean, HEPA Filter, Headlights, Swivel Steering, Upholstery Tool, Pet Power Brush & Crevice Tool, Sage Green",712-pmkQFML._AC_UL320_.jpg,389.99,Vacuum Cleaners & Floor Care
25,"Belife BVC12 Cordless Vacuum Cleaners for Home, Stick Vacuum for Pet Hair Hardwood Floor Carpet, 22KPa Wireless Vacuum with 380W Brushless Motor, 17500mAh Battery Up to 45mins Runtime",61CTOWlLSRL._AC_UL320_.jpg,139.99,Vacuum Cleaners & Floor Care
26,"ILIFE V5s Plus Robot Vacuum and Mop Combo with Wi-Fi/App/Alexa, Automatic Self-Charging Robotic Vacuum Cleaner, Slim and Quiet, Cleans Hard Floors Carpets and Pet Hair (V5s Pro Upgrade Version)",71qn3Ub5aOL._AC_UL320_.jpg,179.99,Vacuum Cleaners & Floor Care
27,"Bissell SpinWave Cordless Hard Floor Expert, 23159, Titanium With Electric Blue Accents",710hBJOsN9L._AC_UL320_.jpg,154.49,Vacuum Cleaners & Floor Care
28,"Shark CZ2001 Vertex Canister Vacuum, Bagless, Corded, with Self-Cleaning Brushroll & DuoClean PowerFins, HEPA Anti-Allergen Filter, MultiFLEX Technology, 2 Attachments & LED Headlights, Black & Copper",71icevAFsrL._AC_UL320_.jpg,189.99,Vacuum Cleaners & Floor Care
29,"Roomie Tec Cordless Vacuum Cleaner, 2 in 1 Handheld Vacuum, High-Power 2200mAh Li-ion Rechargeable Battery, with Corner Lighting and Upright Charging Base",71cSQpVohuL._AC_UL320_.jpg,109.99,Vacuum Cleaners & Floor Care
30,"Shark IZ462H Vertex Ultra Lightweight Cordless Stick Vacuum with DuoClean PowerFins, Crevice, Pet Multi-Tool, Anti-Allergen, Brush, Removable Handheld, Flex, 60 min Runtime, Blue, MultiFLEX",71keuH8wQYL._AC_UL320_.jpg,415.46,Vacuum Cleaners & Floor Care
31,"NGTeco Robot Vacuum Cleaner 2500Pa Suction Self-Charging Robotic Vacuums Works in Wi-Fi Connection, Voice Control, Good for Pet Hair, Carpet and Hard Floors",81T4fA5SMbL._AC_UL320_.jpg,189.0,Vacuum Cleaners & Floor Care
32,"Shark ZU561 Navigator Lift-Away Speed Self Cleaning Brushroll Lightweight Upright Vacuum with HEPA Filter, Red Peony",71RqYPiCIaL._AC_UL320_.jpg,239.99,Vacuum Cleaners & Floor Care
33,"Wyze Cordless Vacuum Cleaner with 24Kpa Powerful Suction, Lightweight Stick with HEPA Filter, 450W Powerful Brushless Motor , 50mins Runtime for Home Hard Floor Carpet Pet Hair",61R4rmycQCL._AC_UL320_.jpg,179.98,Vacuum Cleaners & Floor Care
34,EVERYBOT Three-Spin Robot Mop - Ultra Quiet Smart Mopping Robot Cleaner Only | Powerful Stylish 3 Spin Wet Mop for Hard Floor & Tile Cleaning with Remote Control | Large Water Tank,71KbNm8Zw+L._AC_UL320_.jpg,349.0,Vacuum Cleaners & Floor Care
35,"Roanow Cordless Vacuum Cleaner, 400W/33KPA Cordless Vacuum with LED Display, 55Mins Runtime Lightweight & Ultra-Quiet Cordless Stick Vacuum for Carpet and Floor, Home, Pet Hair Cleaning",71PJw2ChPSL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
36,"Cordless Vacuum Cleaner, Handheld Vacuum with 25Kpa Super Suction, Hand Vacuum Cleaner Cordless 4-in-1 Powerful Lightweight Vacuum Cleaner, Up to 35 Mins Runtime, for Home Hard Floor Carpet Pet Hair",81fiakviM3L._AC_UL320_.jpg,139.98,Vacuum Cleaners & Floor Care
37,"McCulloch MC1385 Deluxe Canister Steam Cleaner with 23 Accessories, Chemical-Free Pressurized Cleaning for Most Floors, Counters, Appliances, Windows, Autos, and More, 1-(Pack), Black",81k+BSRw2oL._AC_UL320_.jpg,180.49,Vacuum Cleaners & Floor Care
38,"Shark HV343AMZ Rocket Corded Stick Vacuum with Self-Cleaning Brushroll, Lightweight & Maneuverable, Perfect for Pet Hair Pickup, Converts to a Hand Vacuum, with Crevice & Upholstery Tools, Blue/Silver",71ytBiVH88L._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
